"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CSCI-420","Computer Graphics","PC","4.0 units","Lecture","29979D","001","10:00-11:50am","Mon, Wed","80","73","0","Jernej Barbic","MHP101"
"","","","","Discussion","30078R","001","TBA","","80","73","0","","OFFICE"
"CSCI-426","Game Prototyping","","4.0 units","Lecture","30014D","001","1:00-4:20pm","Wednesday","26","25","0","Andrew Nealen","SCI206"
"CSCI-430","Introduction to Computer and Network Security","P","4.0 units","Lecture","30123D","001","4:00-5:50pm","Mon, Wed","60","59","0","Genevieve Bartlett","SOSB4"
"CSCI-435","Professional C++","P","4.0 units","Lecture","31826D","001","2:00-3:50pm","Mon, Wed","33","32","0","Sanjay Madhav","OHE540"
"CSCI-445L","Introduction to Robotics","PC","4.0 units","Lecture","30386D","001","8:00-9:20am","Tue, Thu","30","22","0","Erdem Biyik","KAP163"
"","","","","Lab","29910R","001","10:00-11:50am","Tuesday","15","14","0","","RTH419"
"","","","","Lab","29911R","001","10:00-11:50am","Thursday","15","8","0","","RTH419"
"CSCI-450","Introduction to Computer Networks","C","4.0 units","Quiz","31189R","001","TBA","Friday","200","124","0","Ali Zahid","OFFICE"
"","","","","Lecture","30568D","014","7:30-9:20am","Tue, Thu","30","10","0","Ali Zahid","DEN@Viterbi"
"","","","","Discussion","30570D","014","2:00-2:50pm","Friday","30","10","0","Ali Zahid","DEN@Viterbi"
"","","","","Quiz","31190D","014","5:00-6:50pm","Friday","30","9","0","Ali Zahid","DEN@Viterbi"
"","","","","Lecture","30564R","001","11:00-12:50pm","Tue, Thu","58","56","0","Ali Zahid","THH210"
"","","","","Lecture","30828R","001","7:30-9:20am","Tue, Thu","70","67","0","Ali Zahid","OHE122"
"","","","","Discussion","30566R","001","5:00-5:50pm","Wednesday","58","55","0","Ali Zahid","DMC100"
"","","","","Discussion","30829R","001","2:00-2:50pm","Friday","70","68","0","Ali Zahid","OHE132"
"CSCI-452","Parallel and Distributed Computation","P","4.0 units","Lecture","30661R","001","2:00-3:20pm","Tue, Thu","60","47","0","Viktor Prasanna","SOSB4"
"","","","","Lab","30466R","001","2:00-3:20pm","Friday","60","47","0","","GFS118"
"CSCI-455x","Introduction to Programming Systems Design","","4.0 units","Lecture","30327D","001","10:00-11:20am","Tue, Thu","120","56","0","Claire Bono","OHE122"
"","","","","Lab","30029R","001","1:00-2:50pm","Thursday","31","29","0","","SAL109"
"","","","","Lab","30329R","001","3:00-4:50pm","Thursday","30","27","0","","SAL126"
"","","","","Lecture","29934D","014","10:00-11:20am","Tue, Thu","30","16","0","Claire Bono","DEN@Viterbi"
"","","","","Lab","30023R","014","TBA","","30","16","0","","DEN@Viterbi"
"CSCI-457","Computer Systems Organization","P","4.0 units","Lecture","30478D","001","2:00-3:50pm","Mon, Wed","50","38","0","Gandhi Puvvada","OHE230"
"","","","","Lecture","30591D","001","4:00-5:50pm","Tue, Thu","56","50","0","Gandhi Puvvada","OHE100D"
"","","","","Lecture","30595D","014","4:00-5:50pm","Tue, Thu","20","3","0","Gandhi Puvvada","DEN@Viterbi"
"","","","","Discussion","30497R","001","2:00-2:50pm","Friday","50","39","0","","THH114"
"","","","","Discussion","30593R","001","12:00-12:50pm","Friday","56","49","0","","OHE122"
"","","","","Discussion","30594D","014","12:00-12:50pm","Friday","20","3","0","","DEN@Viterbi"
"","","","","Quiz","30997R","001","5:00-7:50pm","Friday","120","91","0","",""
"CSCI-458","Numerical Methods","P","4.0 units","Lecture","39659D","001","2:00-2:50pm","MWF","31","27","0","Aykut Arslan","GFS222"
"","","","","Discussion","39660D","001","8:00-8:50am","Tue, Thu","25","4","0","","KAP158"
"","","","","Discussion","39661D","001","9:00-9:50am","Tue, Thu","24","21","0","","KAP158"
"","","","","Lecture","39656D","001","11:00-11:50am","MWF","49","36","0","Aykut Arslan","WPH103"
"","","","","Discussion","39657D","001","2:00-2:50pm","Tue, Thu","25","23","0","","GFS223"
"","","","","Discussion","39658D","001","3:00-3:50pm","Tue, Thu","24","15","0","","GFS223"
"CSCI-467","Introduction to Machine Learning","P","4.0 units","Lecture","29977D","001","3:30-4:50pm","Tue, Thu","50","48","0","Robin Jia","DMC100"
"","","","","Discussion","30057R","001","3:00-3:50pm","Friday","50","48","0","","DMC102"
"CSCI-475","Theory of Computation","P","4.0 units","Lecture","30330D","001","10:00-11:50am","Mon, Wed","35","26","0","Aaron Cote","DMC201"
"CSCI-487","Programming Game Engines","P","4.0 units","Lecture-Lab","32062R","001","10:00-11:50am","Mon, Wed","36","33","0","Matthew Whiting","OHE540"
"CSCI-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","30229D","001","TBA","","100","18","0","William Halfond","OFFICE"
"CSCI-491bL","Final Game Project","P","2.0 units","Lecture-Lab","30219D","001","2:00-5:20pm","Thursday","55","54","0","Scott Easley","EGG108"
"CSCI-495","Senior Project","","2.0 units","Lecture-Lab","50526D","001","TBA","","24","12","0","Vahe Peroomian","OFFICE"
"CSCI-499","Special Topics","","2.0-4.0 units, max 8"
"","Introduction to Human-Computer Interaction","","4.0","Lecture","29950D","001","8:00-9:50am","Mon, Wed","30","19","0","Souti Chattopadhyay","DMC155"
"","Language Models in Natural Language Processing","","4.0","Lecture","29980D","001","4:00-5:50pm","Mon, Wed","30","27","0","Swabha Swayamdipta","DMC260"
"","Foundations of Multi-Agent Systems","","4.0","Lecture","30006D","001","5:00-6:50pm","Mon, Wed","25","13","0","Sven Koenig","KAP165"
"CSCI-501","Numerical Analysis and Computation","","3.0 units","Lecture","39694R","001","12:00-12:50pm","MWF","35","16","0","Cymra Haskell","KAP147"
