"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"EE-494a","Undergraduate Thesis","C","2.0 units","Lecture","31188D","001","TBA","","10","1","0","Bhaskar Krishnamachari Michelle Povinelli","OFFICE"
"EE-494b","Undergraduate Thesis","PC","2.0 units","Lecture","31182R","001","TBA","","10","5","0","Bhaskar Krishnamachari Michelle Povinelli","OFFICE"
"EE-501","Solid State","P","4.0 units","Lecture","32141R","048","2:00-3:50pm","Tue, Thu","25","5","0","Anupam Madhukar","VHE210"
"EE-503","Probability for Electrical and Computer Engineers","","4.0 units","Lecture","30984R","048","12:00-1:50pm","Mon, Wed","60","48","0","Brandon Franzke","SOSB2"
"","","","","Discussion","30678R","048","10:00-10:50am","Friday","60","48","0","Brandon Franzke","GFS118"
"","","","","Lecture","30475R","048","10:00-11:50am","Mon, Wed","60","37","0","Rahul Jain","OHE122"
"","","","","Lecture","30755D","034","10:00-11:50am","Mon, Wed","20","4","0","Rahul Jain","DEN@Viterbi"
"","","","","Discussion","30479R","048","9:00-9:50am","Friday","60","36","0","Rahul Jain","OHE122"
"","","","","Discussion","30761D","034","9:00-9:50am","Friday","20","4","0","Rahul Jain","DEN@Viterbi"
"EE-506","Semiconductor Physics","","4.0 units","Lecture","30822R","048","9:00-10:50am","Mon, Wed","20","7","0","Tony Levi","THH115"
"EE-510","Linear Algebra for Engineering","","4.0 units","Lecture","30556D","034","12:00-1:50pm","Tue, Thu","20","4","0","Ketan Savla","DEN@Viterbi"
"","","","","Discussion","30558D","034","2:00-2:50pm","Friday","20","4","0","Ketan Savla","DEN@Viterbi"
"","","","","Lecture","30552R","048","12:00-1:50pm","Tue, Thu","80","53","0","Ketan Savla","OHE122"
"","","","","Discussion","30554R","048","2:00-2:50pm","Friday","80","53","0","Ketan Savla","OHE122"
"EE-512","Stochastic Processes for Financial Engineering","P","4.0 units","Lecture","30769D","034","10:00-11:50am","Mon, Wed","20","2","0","George Papavassilopoulos","DEN@Viterbi"
"","","","","Lecture","30893R","048","10:00-11:50am","Mon, Wed","82","45","0","George Papavassilopoulos","OHE100C"
"","","","","Discussion","30873D","034","12:00-12:50pm","Friday","20","2","0","","DEN@Viterbi"
"","","","","Discussion","30894R","048","12:00-12:50pm","Friday","82","45","0","","OHE132"
"EE-518","Mathematics and Tools for Financial Engineering","","4.0 units","Lecture","30518D","034","2:00-3:50pm","Tue, Thu","20","3","0","Petros Ioannou","DEN@Viterbi"
"","","","","Lecture","30970D","048","2:00-3:50pm","Tue, Thu","57","25","0","Petros Ioannou","OHE100D"
"","","","","Discussion","30517D","034","5:30-6:20pm","Friday","20","3","0","","DEN@Viterbi"
"","","","","Discussion","30969R","048","5:30-6:20pm","Friday","57","25","0","","OHE136"
"EE-521","Power Systems Analysis and Design","P","4.0 units","Lecture","30689R","048","6:00-9:40pm","Tuesday","60","10","0","Mohammed Beshir","OHE122"
"","","","","Lecture","30650D","034","6:00-9:40pm","Tuesday","20","7","0","Mohammed Beshir","DEN@Viterbi"
"EE-522","Immersive Audio Signal Processing","","4.0 units","Lecture","30730R","048","10:00-12:50pm","Friday","40","23","0","Chris Kyriakakis","RTH217"
"EE-523","Advanced Biomedical Imaging","","4.0 units","Lecture","29295D","034","12:00-1:50pm","Tue, Thu","20","2","0","Brent Liu","DEN@Viterbi"
"","","","","Lecture","29300D","048","12:00-1:50pm","Tue, Thu","30","21","0","Brent Liu","OHE100C"
"EE-526","Renewable Energy in Power Systems","","4.0 units","Lecture","30854R","048","6:00-9:40pm","Wednesday","100","33","0","Mohammed Beshir","OHE122"
"","","","","Lecture","31221D","034","6:00-9:40pm","Wednesday","35","9","0","Mohammed Beshir","DEN@Viterbi"
"EE-529","Optics","","4.0 units","Lecture","30597R","048","4:00-5:50pm","Mon, Wed","28","8","0","Demetri Christodoulides","OHE120"
"","","","","Lecture","31235D","034","4:00-5:50pm","Mon, Wed","28","2","0","Demetri Christodoulides","DEN@Viterbi"
"","","","","Discussion","30596R","048","TBA","","28","8","0","","OFFICE"
"","","","","Discussion","31234D","034","TBA","","10","2","0","","DEN@Viterbi"
"EE-533","Network Processor Design and Programming","P","4.0 units","Lecture","30964R","048","12:30-1:50pm","Tue, Thu","72","26","0","Young Cho","LVL17"
"EE-535","Wireless Communications","P","4.0 units","Lecture","30686R","048","8:00-9:50am","Mon, Wed","34","10","0","Andreas Molisch","OHE120"
"","","","","Lecture","30688D","034","8:00-9:50am","Mon, Wed","25","0","0","Andreas Molisch","DEN@Viterbi"
"","","","","Discussion","30664D","034","1:00-1:50pm","Friday","25","0","0","","DEN@Viterbi"
"","","","","Discussion","30684R","048","1:00-1:50pm","Friday","34","10","0","","OHE120"
"EE-538","Computing Principles for Electrical Engineers","","2.0 units","Lecture","31245R","048","2:30-4:20pm","Friday","50","37","0","Arash Saifhashemi","SLH102"
"","","","","Lecture","31246R","048","4:30-6:20pm","Friday","50","30","0","Arash Saifhashemi","SLH102"
"","","","","Discussion","31247R","048","4:00-5:20pm","Tuesday","50","32","0","","GFS116"
"","","","","Discussion","31248R","048","4:00-5:20pm","Thursday","50","35","0","","GFS118"
